todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Errors.dyn_hi	WriteIface	1575088	1.135
ghc	systool	systool:touch	74968	0.132
ghc	systool	systool:as	100432	0.428
todo-package	Agda.TypeChecking.Generalize	Parser	25957888	8.624
todo-package	Agda.TypeChecking.Generalize	Renamer/typechecker	99249360	75.631
todo-package	Agda.TypeChecking.Generalize	Desugar	12566824	7.889
todo-package	Agda.TypeChecking.Generalize	Simplifier	48607616	40.494
todo-package	Agda.TypeChecking.Generalize	CoreTidy	3970136	5.050
todo-package	Agda.TypeChecking.Generalize	CorePrep	6877952	4.970
todo-package	Agda.TypeChecking.Generalize	CoreToStg	20104960	19.725
todo-package	Agda.TypeChecking.Generalize	CodeGen	419895312	276.545
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Generalize.hi	WriteIface	1456648	0.439
ghc	systool	systool:as	107648	0.270
todo-package	Agda.TypeChecking.Reduce.Fast	CorePrep	9852248	4.191
todo-package	Agda.TypeChecking.Reduce.Fast	CoreToStg	33791552	17.805
todo-package	Agda.TypeChecking.Reduce.Fast	CodeGen	585225968	298.385
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Fast.dyn_hi	WriteIface	1613696	0.524
ghc	systool	systool:touch	74992	0.125
ghc	systool	systool:as	100752	0.344
todo-package	Agda.TypeChecking.Reduce.Monad	Parser	2534688	0.853
todo-package	Agda.TypeChecking.Reduce.Monad	Renamer/typechecker	16673488	7.554
todo-package	Agda.TypeChecking.Reduce.Monad	Desugar	1476336	0.707
todo-package	Agda.TypeChecking.Reduce.Monad	Simplifier	5520272	6.157
todo-package	Agda.TypeChecking.Reduce.Monad	CoreTidy	494504	0.289
todo-package	Agda.TypeChecking.Reduce.Monad	CorePrep	590840	0.277
todo-package	Agda.TypeChecking.Reduce.Monad	CoreToStg	1487296	0.710
todo-package	Agda.TypeChecking.Reduce.Monad	CodeGen	29234016	16.959
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Monad.hi	WriteIface	1266896	0.224
ghc	systool	systool:as	108024	0.203
todo-package	Agda.TypeChecking.Reduce.Monad	CorePrep	590848	0.368
todo-package	Agda.TypeChecking.Reduce.Monad	CoreToStg	1490896	0.747
todo-package	Agda.TypeChecking.Reduce.Monad	CodeGen	31610328	16.893
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Monad.dyn_hi	WriteIface	1267936	0.270
ghc	systool	systool:as	100776	0.213
todo-package	Agda.TypeChecking.Reduce.Fast	Parser	293488	0.127
todo-package	Agda.TypeChecking.Reduce.Fast	Renamer/typechecker	3096672	0.964
todo-package	Agda.TypeChecking.Reduce.Fast	CoreTidy	24216	0.011
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Fast.hi-boot	WriteIface	1204656	0.156
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Fast.dyn_hi-boot	WriteIface	1207312	0.103
todo-package	Agda.TypeChecking.Reduce.Fast	Parser	45281096	12.475
todo-package	Agda.TypeChecking.Reduce.Fast	Renamer/typechecker	122471640	72.160
todo-package	Agda.TypeChecking.Reduce.Fast	Desugar	57205672	22.609
todo-package	Agda.TypeChecking.Reduce.Fast	Simplifier	126641816	86.812
todo-package	Agda.TypeChecking.Reduce.Fast	CoreTidy	10930232	8.136
todo-package	Agda.TypeChecking.Reduce.Fast	CorePrep	9860312	4.473
todo-package	Agda.TypeChecking.Reduce.Fast	CoreToStg	33813352	17.227
todo-package	Agda.TypeChecking.Reduce.Fast	CodeGen	539623744	293.901
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Fast.hi	WriteIface	1612640	0.570
ghc	systool	systool:touch	74976	0.180
ghc	systool	systool:as	107752	0.320
todo-package	Agda.TypeChecking.ProjectionLike	CorePrep	2491528	1.231
todo-package	Agda.TypeChecking.ProjectionLike	CoreToStg	7351352	3.190
todo-package	Agda.TypeChecking.ProjectionLike	CodeGen	166861600	93.699
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/ProjectionLike.dyn_hi	WriteIface	1343032	0.294
ghc	systool	systool:touch	75000	0.157
ghc	systool	systool:as	100936	0.255
todo-package	Agda.TypeChecking.Unquote	Parser	34949848	10.745
todo-package	Agda.TypeChecking.Unquote	Renamer/typechecker	140514976	69.180
todo-package	Agda.TypeChecking.Unquote	Desugar	24773336	37.297
todo-package	Agda.TypeChecking.Unquote	Simplifier	87407592	49.585
todo-package	Agda.TypeChecking.Unquote	CoreTidy	7967560	6.335
todo-package	Agda.TypeChecking.Unquote	CorePrep	11064960	5.267
todo-package	Agda.TypeChecking.Unquote	CoreToStg	31859856	17.301
todo-package	Agda.TypeChecking.Unquote	CodeGen	619616608	336.224
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Unquote.hi	WriteIface	1597624	0.537
ghc	systool	systool:as	106728	0.356
todo-package	Agda.TypeChecking.Empty	CorePrep	579128	0.392
todo-package	Agda.TypeChecking.Empty	CoreToStg	1621744	1.136
todo-package	Agda.TypeChecking.Empty	CodeGen	35232448	26.789
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Empty.dyn_hi	WriteIface	1286576	0.236
ghc	systool	systool:touch	74968	0.092
ghc	systool	systool:as	100376	0.184
todo-package	Agda.TypeChecking.Quote	Parser	11673816	4.026
todo-package	Agda.TypeChecking.Quote	Renamer/typechecker	45125016	28.812
todo-package	Agda.TypeChecking.Quote	Desugar	10752944	4.808
todo-package	Agda.TypeChecking.Quote	Simplifier	23316184	12.748
todo-package	Agda.TypeChecking.Quote	CoreTidy	2125200	1.452
todo-package	Agda.TypeChecking.Quote	CorePrep	3019376	1.299
todo-package	Agda.TypeChecking.Quote	CoreToStg	9733696	3.857
todo-package	Agda.TypeChecking.Quote	CodeGen	210120040	119.514
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Quote.hi	WriteIface	1391112	0.403
ghc	systool	systool:as	106064	0.320
todo-package	Agda.TypeChecking.Modalities	CorePrep	711576	0.482
todo-package	Agda.TypeChecking.Modalities	CoreToStg	1891048	0.829
todo-package	Agda.TypeChecking.Modalities	CodeGen	50399104	24.565
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Modalities.dyn_hi	WriteIface	1273408	0.227
ghc	systool	systool:as	100680	0.210
todo-package	Agda.TypeChecking.EtaExpand	CorePrep	200440	0.143
todo-package	Agda.TypeChecking.EtaExpand	CoreToStg	522968	0.325
todo-package	Agda.TypeChecking.EtaExpand	CodeGen	11971200	7.216
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/EtaExpand.dyn_hi	WriteIface	1254400	0.376
ghc	systool	systool:as	100624	0.205
todo-package	Agda.TypeChecking.Records	Parser	678048	0.322
todo-package	Agda.TypeChecking.Records	Renamer/typechecker	6931088	3.152
todo-package	Agda.TypeChecking.Records	CoreTidy	34048	0.023
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Records.hi-boot	WriteIface	1228680	0.206
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Records.dyn_hi-boot	WriteIface	1229336	0.148
todo-package	Agda.TypeChecking.Records	Parser	31754280	10.904
todo-package	Agda.TypeChecking.Records	Renamer/typechecker	127808616	81.377
todo-package	Agda.TypeChecking.Records	Desugar	22593864	12.656
todo-package	Agda.TypeChecking.Records	Simplifier	60131136	52.295
todo-package	Agda.TypeChecking.Records	CoreTidy	4965128	4.497
todo-package	Agda.TypeChecking.Records	CorePrep	6482120	3.428
todo-package	Agda.TypeChecking.Records	CoreToStg	18588064	10.664
todo-package	Agda.TypeChecking.Records	CodeGen	388707328	246.996
